pair,trt,temp,clip,color,genotype,tank,start.len,start.rhiz.diam,start.rhiz.len,no.shoots.pre.heat,no.shoots.post.heat,length1.T1,length2.T1,length3.T1,length4.T1,lengthtot.T1,days.T1,growth.rate.T1,no.shoots.preC1,no.shoots.postC1,dead.T1,dead.TR,dead.preC,dead.postC,status.bd,no.shoots.bd,width.bd,date.measured.bd,days.bd,length1.bd,length2.bd,length3.bd,length4.bd,length5.bd,length6.bd,length7.bd,lengthtot.bd,growthrate.bd,grazing,laby,ss.np,dessicated,flowering,gen.id,old,new,rhiz,roots,rhizbrokeT1,rhizbroke.TR,squashed,SS.lost,replicate,notes,,
3,D,hot,clip,R,JET06,2,42,4,4.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
4,A,cold,none,B,blue,1,47,5,5,2,0,0,0,0,0,0,12,0,0,0,1,1,1,1,dead,0,0,27-Apr,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,,,
4,A,cold,none,R,DPH10,1,80,5,4.5,2,3,3,23.5,17,2,45.5,12,3.791666667,5,7,0,0,0,0,measured,14,0.9,27-Apr,11,6.2,6.5,3.2,18.6,5.7,15.5,0,55.7,5.063636364,1,0,3,1,0,92,2.404,0.572,1.092,0.59,0,0,0,0,1,,,
4,B,hot,none,B,blue,2,41,4,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
4,B,hot,none,R,DPH10,2,83.5,5,5.6,3,2,16.9,10,3.1,0,30,12,2.5,NA,NA,0,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
4,C,cold,clip,B,blue,1,56,4,4.3,1,2,15.7,22.6,0.8,0,39.1,12,3.258333333,8,2,0,0,0,1,dead,0,0,27-Apr,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,,,
4,C,cold,clip,R,DPH10,1,45,4.5,5,1,1,24,9.9,2,0,35.9,12,2.991666667,NA,NA,0,0,0,0,measured,12,0.6,27-Apr,11,8.9,4.6,13.3,0,0,0,0,26.8,2.436363636,1,0,0,1,0,88,0.205,0.091,0.127,0.103,0,0,0,0,1,,,
4,D,hot,clip,B,blue,2,46,4,5.5,1,3,5.5,2,0,0,7.5,12,0.625,0,0,0,0,1,1,dead,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,,,
4,D,hot,clip,R,DPH10,2,57,5,5.3,1,2,31.5,16.5,0,0,48,12,4,NA,NA,0,0,1,1,dead,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,,,
5,A,cold,none,B,DPS19,1,41,3.5,4,2,1,6.5,12.6,21.4,9.9,50.4,12,4.2,6,14,0,0,0,0,measured,4,0.9,23-Apr,7,0.9,1.6,11.1,9.1,7.5,4.6,4,38.8,5.542857143,1,1,0,0,0,17,0.901,0.173,0.311,0.157,0,0,0,0,3,B and/or R grazed after 2nd clip,,
5,A,cold,none,R,WPS03,1,111,4.5,6,2,3,2.4,32.5,22.8,0,57.7,12,4.808333333,NA,NA,0,0,0,0,measured,20,1,23-Apr,7,18,17.4,13.9,3.8,6.7,9,0,68.8,9.828571429,1,1,0,0,0,16,6.222,1.442,2.166,1.022,1,0,0,0,3,RHIZ BROKE RETAGGED WITH ORANGE FLAG TAPE AND REPLANTED,,
5,B,hot,none,B,DPS19,2,52,4.5,3.7,3,4,11.5,20.5,4.5,0,36.5,12,3.041666667,3,3,0,0,0,0,measured,3,0.5,30-Apr,14,14,5.6,15.1,23.2,0,0,0,57.9,4.135714286,1,0,2,0,0,146,0.122,0.059,0.042,0.025,0,0,0,0,3,B and/or R grazed after 2nd clip,,
5,B,hot,none,R,WPS03,2,105,4,6,2,3,24.1,0,0,0,24.1,12,2.008333333,NA,NA,0,0,0,0,measured,4,0.6,30-Apr,14,15.5,4.2,22,6.8,0,0,0,48.5,3.464285714,1,0,2,0,0,147,0.397,0.163,0.15,0.075,0,0,0,0,3,,,
5,C,cold,clip,B,DPS19,1,43,5,5,1,2,4.5,21.4,16.7,0,42.6,12,3.55,11,12,0,0,0,0,measured,1,0.2,23-Apr,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,0,0,21,0.024,0,0.05,0.036,0,0,0,0,3,,,
5,C,cold,clip,R,WPS03,1,93,4,4,2,4,31.1,28.7,2.2,0,62,12,5.166666667,NA,NA,0,0,0,0,measured,14,0.7,23-Apr,7,4.5,7.5,10.5,9.5,0,0,0,32,4.571428571,1,1,0,0,0,20,1.208,0.302,0.767,0.807,0,0,0,0,3,,,
5,D,hot,clip,B,DPS19,2,41,3,4,1,1,17,21.5,0,0,38.5,12,3.208333333,3,3,0,0,0,0,measured,2,0.6,4-May,18,22.2,10.8,22.1,0,0,0,0,55.1,3.061111111,0,0,1,0,0,275,0.154,0.086,0.158,0.058,0,0,0,0,3,,,
5,D,hot,clip,R,WPS03,2,100,3.5,3.3,2,3,16,0,0,0,16,12,1.333333333,NA,NA,0,0,0,0,measured,1,0.4,4-May,18,5.2,6.2,7.1,0,0,0,0,18.5,1.027777778,0,0,0,0,0,276,0.013,0.016,0.182,0.1,0,0,1,0,3,SHOOT SQUASHED,,
6,A,cold,none,B,DPH02,3,67,4.5,4.3,2,3,12.3,15.6,1.8,0,29.7,12,2.475,4,8,0,0,0,0,measured,15,0.7,30-Apr,14,3.4,14.4,13.6,10.6,8.2,9.9,3.1,63.2,4.514285714,1,1,0,1,0,201,0.914,0.513,0.875,2.67,0,0,0,0,3,"additional lengths 2.2, 18.2, 1.2, 10.4",,
6,A,cold,none,R,WPH03,3,49,3.5,4,1,1,22.2,3.9,0,0,26.1,12,2.175,NA,NA,0,0,0,1,dead,0,0,30-Apr,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,,,
6,B,hot,none,B,DPH02,4,73,4.5,4.9,2,3,11.6,28.5,6.5,0,46.6,12,3.883333333,7,10,0,0,0,0,measured,5,0.7,23-Apr,7,3,7.3,7.9,8.1,3.2,0,0,29.5,4.214285714,0,0,0,0,0,29,0.552,0.431,0.401,0.204,0,0,0,0,3,,,
6,B,hot,none,R,WPH03,4,42,4,3.7,1,1,27.3,2.4,0,0,29.7,12,2.475,NA,NA,0,0,0,0,measured,4,0.8,23-Apr,7,6.3,8.4,3.9,9.2,0,0,0,27.8,3.971428571,1,0,0,0,0,27,1.025,1.107,0.467,0.728,0,0,0,0,3,,,
6,C,cold,clip,B,DPH02,3,70,4,4.5,2,1,21,12,0,0,33,12,2.75,5,6,0,0,0,0,measured,5,0.7,29-Apr,13,14.2,14.7,18.8,9.6,5.7,0,0,63,4.846153846,0,0,0,0,0,149,0.239,0.264,0.342,0.127,0,0,0,0,3,,,
6,C,cold,clip,R,WPH03,3,59,3,5,2,1,17.2,3,0,0,20.2,12,1.683333333,NA,NA,0,0,0,0,measured,3,0.7,29-Apr,13,16.1,29,7,12.4,2.2,9.8,0,76.5,5.884615385,0,0,0,,0,148,0.102,0.12,0.102,0.036,0,0,0,0,3,,,
6,D,hot,clip,B,DPH02,4,56,3,3.8,1,1,27,8.75,0,0,35.75,12,2.979166667,2,3,0,0,0,0,measured,3,0.5,23-Apr,7,5.3,5.2,4.2,0,0,0,0,14.7,2.1,0,0,0,0,0,30,0.115,0.146,0.256,0.145,0,0,0,0,3,,,
6,D,hot,clip,R,WPH03,4,65.5,5,6,2,3,34,38.5,2.8,0,75.3,12,6.275,NA,NA,0,0,0,1,dead,0,0,23-Apr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,,,
7,A,cold,none,R,DPH06,3,56.5,4.5,5.3,2,3,21.5,12,0.25,0,33.75,12,2.8125,NA,NA,0,0,0,0,measured,26,0.8,30-Apr,14,24.3,15.9,19.2,5.7,8.7,13.3,15.4,102.5,7.321428571,1,1,0,0,0,212,2.058,1.244,1.739,1.4,0,0,0,0,0,**,,
7,A,cold,none,UK,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,measured,6,NA,30-Apr,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,210,0.352,0.273,0.215,0.67,NA,NA,NA,NA,0,,,
7,A,cold,none,B,yellow,3,83,4,6,1,1,32,2,0,0,34,12,2.833333333,5,8,0,0,0,0,measured,7,0.7,30-Apr,14,20.2,6.4,10.7,10.2,11.7,0,0,59.2,4.228571429,0,0,0,0,1,211,1.807,0.409,0.726,0.259,0,1,0,0,0,** These two are paired on the other data sheet. ,,
7,B,hot,none,R,DPH06,4,67,4,5.5,3,3,20.1,14.8,0,0,34.9,12,2.908333333,NA,NA,0,0,0,0,measured,8,0.7,29-Apr,13,26.4,14.8,23.8,0,0,0,0,65,5,1,0,0,0,0,145,6.496,3.696,1.228,5.698,0,0,0,0,1,,,
7,B,hot,none,B,yellow,4,73,3.5,3.5,1,3,45.2,21.5,0,0,66.7,12,5.558333333,10,18,0,0,0,0,measured,25,0.6,29-Apr,13,10.8,4.4,9.3,13.2,0,0,0,37.7,2.9,1,0,0,0,0,144,0.22,0.118,0.139,0.17,0,0,0,0,1,,,
7,C,cold,clip,R,DPH06,3,50,3,5,1,1,33.9,6.1,11.3,0,51.3,12,4.275,NA,NA,0,0,0,NA,metab,1,0.3,27-Apr,11,7.7,2,5.9,0,0,0,0,15.6,1.418181818,0,0,0,1,0,86,0.006,0.01,0.05,0.03,0,0,0,0,0,,,
7,C,cold,clip,B,yellow,3,67,4.5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
7,D,hot,clip,R,DPH06,4,72,4,2.8,2,4,23.5,39,0,0,62.5,12,5.208333333,NA,NA,0,0,0,0,measured,3,0.5,4-May,18,13.8,20,23.3,4.5,0,0,0,61.6,3.422222222,0,0,0,0,0,289,0.197,0.167,0.18,0.108,0,0,1,0,1,SHOOT SQUASHED,,
7,D,hot,clip,B,yellow,4,107,5,6,2,2,11,3,0,0,14,12,1.166666667,5,7,0,0,0,0,measured,1,0.5,4-May,18,11,12,3.5,4,0,0,0,30.5,1.694444444,0,0,0,0,0,290,0.048,0.044,0.256,0.075,0,0,0,0,1,,,
8,A,cold,none,B,purple,3,27.9,3,5.6,1,0,0,0,0,0,0,12,0,3,3,1,1,1,1,dead,0,0,24-Apr,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,,,
8,A,cold,none,R,WPH04,3,73.5,6,5.4,1,2,26.5,18,0,0,44.5,12,3.708333333,NA,NA,0,0,0,0,measured,4,0.6,24-Apr,8,9.5,8.8,8.8,5.1,5.1,0,0,37.3,4.6625,1,1,1,1,0,50,0.314,0.053,0.305,0.347,0,0,0,0,3,,,
8,B,hot,none,B,purple,4,124.6,5,6,2,3,11.7,46.5,15.1,0,73.3,12,6.108333333,7,7,0,0,0,0,measured,2,0.7,2-May,16,15.2,13.7,8.3,28.7,4.4,17.6,50.9,138.8,8.675,0,0,1,0,0,238,0.284,0.251,0.109,0.092,0,0,0,0,3,,,
8,B,hot,none,R,WPH04,4,92.3,4,4.8,3,4,8,19.7,0,0,27.7,12,2.308333333,NA,NA,0,0,0,0,measured,20,0.9,2-May,16,10.8,19.3,30.2,10.5,21.8,28.1,4.5,125.2,7.825,1,0,3,1,0,237,2.08,2.088,1.588,1.713,0,0,0,0,3,,,
8,C,cold,clip,B,purple,3,94,3,6,1,1,13.3,29.7,5,0,48,12,4,2,4,0,0,0,0,measured,5,0.7,30-Apr,14,12,22,13,13.5,32,0,0,92.5,6.607142857,0,0,0,0,0,194,0.139,0.255,0.354,0.299,0,0,0,0,3,,,
8,C,cold,clip,R,WPH04,3,43.1,3,4.5,1,1,16.5,10.5,0,0,27,12,2.25,NA,NA,0,0,0,0,measured,1,0.5,30-Apr,14,22.1,20.7,13.6,13.4,4.1,0,0,73.9,5.278571429,0,0,0,0,0,195,0.04,0.058,0.132,0.071,0,1,0,0,3,TERM SHOOT DEAD,,
8,D,hot,clip,B,purple,4,29.5,3,6,2,2,12.9,15.2,0,0,28.1,12,2.341666667,1,1,0,0,0,0,measured,1,0.4,27-Apr,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,83,0.036,0,0.165,0.105,0,0,0,0,3,TERM SHOOT DEAD,,
8,D,hot,clip,R,WPH04,4,64.8,5,5.1,2,4,10.7,29.8,0,0,40.5,12,3.375,NA,NA,0,0,0,1,dead,0,0,27-Apr,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,TERM SHOOT DEAD,,
9,A,cold,none,R,gray,3,68.5,5,5.1,1,1,19.4,18,0,0,37.4,12,3.116666667,NA,NA,0,0,0,0,measured,3,0.9,27-Apr,11,16.4,8.6,9.2,14.6,1.9,3.7,8.6,63,5.727272727,0,0,0,0,0,105,0.701,0.298,0.454,0.245,0,0,0,0,1,,,
9,A,cold,none,B,MMH08,3,62.9,5,6,2,1,2.6,7.5,0.5,0,10.6,12,0.883333333,3,4,0,0,0,0,measured,5,0.8,27-Apr,11,6.1,0.8,13.8,9.6,15.8,6.9,0,53,4.818181818,1,0,0,0,0,106,0.624,0.259,0.448,0.211,0,1,0,0,1,,,
9,B,hot,none,R,gray,4,96.1,4,6,2,3,21,40,0,0,61,12,5.083333333,NA,NA,0,0,0,0,measured,5,0.7,23-Apr,7,2.5,2.8,4.2,5,6.1,0,0,20.6,2.942857143,0,0,0,0,0,NA,0.624,0.514,0.548,0.214,0,0,0,0,1,,,
9,B,hot,none,B,MMH08,4,45,4,5.8,1,2,31,17.5,0,0,48.5,12,4.041666667,6,7,0,0,0,0,measured,3,0.9,23-Apr,7,7,5,2.1,0,0,0,0,14.1,2.014285714,1,1,0,0,0,19,0.609,0.435,0.615,0.378,0,0,0,0,1,,,
9,C,cold,clip,R,gray,3,97.1,3,4.9,1,2,26.9,20.9,3.9,0,51.7,12,4.308333333,NA,NA,0,0,0,0,measured,4,0.8,29-Apr,13,18.3,19,6.7,5.3,0,0,0,49.3,3.792307692,0,0,0,0,0,118,0.396,0.211,0.383,0.146,0,0,0,0,1,,,
9,C,cold,clip,B,MMH08,3,64,5,4.5,1,1,1.8,1.8,0,0,3.6,12,0.3,5,6,0,0,0,0,measured,1,0.4,29-Apr,13,3.6,11.1,16.8,8.3,0,0,0,39.8,3.061538462,1,0,1,0,0,117,0.032,NA,0.08,0.054,0,0,0,0,1,"note that leaf extension was measured, but there is no new biomass….put in old? ",,
9,D,hot,clip,R,gray,4,69.9,4,4,0,1,42.9,14.1,0,0,57,12,4.75,NA,NA,0,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
9,D,hot,clip,B,MMH08,4,41,4,5.1,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
10,A,cold,none,B,MMH01,3,50.6,4,4,1,1,21.5,20,0,0,41.5,12,3.458333333,2,3,0,0,0,0,measured,4,0.8,4-May,18,15.3,25.2,15,0,0,0,0,55.5,3.083333333,0,0,1,0,0,278,0.421,0.26,0.304,0.146,0,0,0,0,3,,,
10,A,cold,none,R,MML15,3,71,5,6,1,1,15,0,0,0,15,12,1.25,0,0,0,1,1,1,dead,0,0,4-May,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,3,,,
10,B,hot,none,B,MMH01,4,71,4,3.2,2,2,6.5,36.9,10.9,0,54.3,12,4.525,4,9,0,0,0,0,measured,13,0.7,28-Apr,12,5,4,10,0,0,0,0,19,1.583333333,0,1,1,1,0,108,0.687,0.343,0.833,0.37,0,0,0,0,3,,,
10,B,hot,none,R,MML15,4,61.2,5,5,1,2,8,36.3,0,0,44.3,12,3.691666667,NA,NA,0,0,0,0,measured,5,0.7,28-Apr,12,9,15.5,12,3,0,0,0,39.5,3.291666667,0,1,0,0,0,107,0.278,0.319,0.212,0.179,0,0,0,0,3,,,
10,C,cold,clip,B,MMH01,3,37,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,7,14,0,0,0,0,measured,4,0.6,3-May,17,5,22.5,14,20,0,0,0,61.5,3.617647059,0,0,0,0,0,249,0.221,0.19,0.259,0.179,NA,0,0,0,3,NO 10C on data sheet,,
10,C,cold,clip,R,MML15,3,64,4,2.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,measured,11,0.7,3-May,17,18,14.2,10,0,0,0,0,42.2,2.482352941,1,0,0,0,0,248,0.393,0.335,0.613,0.481,NA,0,0,0,3,NO 10C on data sheet,,
10,D,hot,clip,B,MMH01,4,64.2,5,4.7,1,2,23.9,32.9,0,0,56.8,12,4.733333333,9,12,0,0,0,0,measured,6,0.7,3-May,17,8,16,11.5,20,0,0,0,55.5,3.264705882,0,0,2,0,0,245,0.391,0.244,0.378,0.186,0,1,0,0,3,B and/or R grazed after 2nd clip,,
10,D,hot,clip,R,MML15,4,58.4,4,2.2,2,3,29.4,39.6,0,0,69,12,5.75,NA,NA,0,0,0,0,measured,9,0.7,3-May,17,7,5.1,16.3,20.5,25.6,0,0,74.5,4.382352941,1,0,0,0,0,244,0.37,0.922,0.404,0.254,0,0,0,0,3,,,
11,A,cold,none,R,CCH17,5,37.2,4,6,3,4,6.2,21.3,4.7,0,32.2,12,2.683333333,NA,NA,0,0,0,0,measured,7,0.8,3-May,17,6.8,21,15.5,27,0,0,0,70.3,4.135294118,0,0,3,0,0,257,0.428,0.303,0.227,0.112,0,0,0,0,3,,,
11,A,cold,none,B,DPL07,5,75.5,3,2,1,3,14.4,15.8,0,0,30.2,12,2.516666667,7,6,0,0,0,0,measured,8,0.8,3-May,17,8,28,12.8,20.2,0,0,0,69,4.058823529,1,1,5,0,0,258,0.529,0.285,0.321,0.127,0,0,0,0,3,,,
11,B,hot,none,R,CCH17,6,28.1,4,2.4,3,5,6.7,34.9,29.1,0.9,71.6,12,5.966666667,NA,NA,0,0,0,0,measured,14,1,2-May,16,25.1,17,28.7,9.5,0,0,0,80.3,5.01875,0,1,5,0,0,230,1.309,0.927,0.924,0.684,0,0,0,0,3,,,
11,B,hot,none,B,DPL07,6,34.4,4,2.8,2,2,3.7,32.9,8.6,0,45.2,12,3.766666667,10,15,0,0,0,0,measured,12,0.6,2-May,16,8.5,23.2,17.5,8.6,0,0,0,57.8,3.6125,1,0,3,0,0,228,0.65,0.361,0.359,0.448,0,0,0,0,3,,,
11,C,cold,clip,R,CCH17,5,41.8,5,5.8,2,2,22,8,0.25,0,30.25,12,2.520833333,NA,NA,0,0,0,0,measured,2,0.5,29-Apr,13,16.2,15.6,15.4,9.3,1.1,0,0,57.6,4.430769231,0,0,1,0,0,170,0.056,0.054,0.107,0.043,0,0,0,0,3,,,
